"geocodigo","demanda_total","n_personas"
"13108021002",69759066.7040009,2716
"13108021003",104134631.987404,3720
"13108021004",187678099.796061,4878
"13108021005",94208309.9877069,3259
"13108031001",63628309.8591315,2388
"13108031002",86969521.3398894,3097
"13108031003",98364350.5520732,3470
"13108031004",73953879.3396695,2841
"13108031005",127218134.41694,4721
"13108041001",61639270.2178171,1936
"13108041002",210314604.724015,5689
"13108051001",46477884.6129606,1730
"13108051002",60637396.0831383,2015
"13108051003",209122326.896826,5614
"13108051004",42677625.3230872,1485
"13108051005",251980891.216446,6767
"13108061001",156477973.07064,5159
"13108061002",289099562.342636,7813
"13108071001",133134276.715252,3482
"13108071002",46316854.0443977,1622
"13108991999",3686720.08471891,225
"13109011001",177293923.800332,3597
"13109011002",234175431.117097,5152
"13109011003",181314083.388247,4002
"13109011004",212227953.402652,3794
"13109021001",186214040.789198,3462
"13109021002",164778141.920609,3610
"13109021003",143737356.1455,3105
"13109021004",192662045.367769,3769
"13109021005",122717100.326492,2220
"13109031001",234185738.042584,4984
"13109031002",275178511.119343,5420
"13109031003",238742650.650184,5427
"13109041001",167018732.41268,3497
"13109041002",194113466.953354,4378
"13109041003",144178449.538222,2786
"13109041004",132710639.010719,3015
"13109051001",284336053.743887,5061
"13109051002",193080073.32,3683
"13109051003",184427693.588849,3810
"13109061001",176221835.456592,4063
"13109061002",292315085.15909,5842
"13109061003",162906373.445697,3145
"13109061004",101403626.876157,2047
"13109991999",10490692.0982195,250
"13110011001",346497771.593034,4607
"13110011002",128185593.335907,2390
"13110011003",201626328.532457,4046
"13110011004",61311620.2401629,1181
"13110011005",229751475.109477,3019
"13110021001",140520356.414507,2829
"13110021002",119034783.699122,2513
"13110021003",51758196.1276435,917
"13110021004",129996513.410465,1833
"13110021005",116688635.15354,2342
"13110021006",359203894.201558,5821
"13110031001",231192323.958044,3199
"13110031002",178266875.25347,2868
"13110031003",203273841.259386,3283
"13110031004",216942332.918703,3806
"13110031005",236868235.160301,3412
"13110031006",171873434.53929,2823
"13110031007",119721421.414284,2029
"13110041001",249042085.388018,4242
"13110041002",213011741.810609,3746
"13110051001",233022293.036648,5192
"13110051002",170369598.937724,3805
"13110051003",95983627.1690012,2173
"13110051004",203127848.890475,4507
"13110051005",110623842.920119,2496
"13110061001",79558269.469831,1939
"13110061002",266406603.803805,5419
"13110061003",163934996.731951,2538
"13110061004",317494576.856503,4327
"13110061005",186992132.794304,2622
"13110061006",259424501.250201,4299
"13110061007",121917285.604851,2724
"13110061008",167519792.553034,2804
"13110071001",164701665.095865,3506
"13110071002",606124870.778672,7476
"13110071003",191750428.687025,2587
"13110071004",394773829.060237,5451
"13110071005",256214362.38171,5430
"13110072002",10322291.0987486,170
"13110081001",289856909.859795,4115
"13110081002",275967453.315509,4306
"13110081003",258977038.492066,4144
"13110081004",252047157.678873,3853
"13110091001",188593838.817222,2954
"13110091002",249387334.99375,3725
"13110091003",153585081.109525,2512
"13110091004",274689999.81354,3881
"13110091005",265522250.824721,3935
"13110101001",175432101.899363,3156
